prompts,answers
"QUESTION1) 영어 및 정보 등에 관하여 일정한 기준의 능력이나 자격을 취득한 경우 인정 받는 학점은 몇점인가?
(A) 인정 안됨
(B) 1학점
(C) 2학점
(D) 3학점",(D)
"QUESTION2) LMS 시스템의 초기 비밀번호는 무엇으로 설정되어 있습니까?
(A) 사용자가 직접 설정
(B) 본인 생년월일
(C) 0000
(D) 임의 지정된 숫자",(B)
"QUESTION3) 비대면 수업을 위해 필요한 필수 장비는 무엇입니까?
(A) 컴퓨터, 카메라, 마이크
(B) 필기구와 종이
(C) USB 드라이브
(D) 추가 모니터",(A)
"QUESTION4) 학생 포털에서 본인의 성적을 조회할 수 있는 시기는 언제입니까?
(A) 시험 직후
(B) 성적 입력 마감 후
(C) 학기 초
(D) 졸업 후에만 조회 가능",(B)
"QUESTION5) 온라인 수업 출석 인정 기준은 무엇입니까?
(A) 접속 후 5분 내 퇴장해도 인정됨
(B) 최소 80% 수업 시청
(C) 질문 게시판에 참여
(D) 시험 응시 여부로만 결정",(B)
"QUESTION6) In Singer’s understanding, the principle of the equality of human beings is
(A) a description of an alleged actual equality among humans.
(B) a description of an alleged equality among all living beings.
(C) a prescription of how we should treat nonhuman animals.
(D) a description of an alleged inequality among all living beings.
(E) a prescription of how we should treat humans.
(F) a description of an alleged actual inequality among humans.
(G) a description of an alleged actual superiority of humans over nonhuman animals.
(H) a prescription of how we should treat both human and nonhuman animals equally.
(I) a prescription of how we should treat nonhuman animals differently.
(J) a prescription of how we should treat the environment.",(E)
"QUESTION7) Ms. Chen purchased a used car, worth $1,650, on the installment plan, paying $50 down and $1,840 in monthly installment payments over a period of two years. What annual interest rate did she pay?
(A) 10%
(B) 17.5%
(C) 15.2%
(D) 13.3%
(E) 20%
(F) 19.8%
(G) 18%
(H) 16%
(I) 12%
(J) 14.4%",(J)
"QUESTION8) Functions of the law include all but which of the following?
(A) defining the limits of government power
(B) regulating the use of public spaces
(C) keeping the peace
(D) maximizing individual freedom
(E) maintaining order and stability
(F) preventing environmental degradation
(G) providing a basis for compromise
(H) promoting social justice
(I) promoting the principles of the free enterprise system
(J) encouraging economic growth",(I)
"QUESTION9) The ________ School of jurisprudence postulates that the law is based on what is “correct.”
(A) Legal Pragmatism
(B) Legal Formalism
(C) Comparative
(D) Analytical
(E) Sociological
(F) Historical
(G) Critical Legal Studies
(H) Realist
(I) Positivist
(J) Natural Law
",(J)
"QUESTION10) Which of the following Enlightenment philosophes designed a system of checks and balances for government to avoid abuses of power?
(A) Thomas Hobbes
(B) Jean Jacques Rousseau
(C) Baron Montesquieu
(D) Voltaire
(E) Denis Diderot
(F) Immanuel Kant
(G) David Hume
(H) Mary Wollstonecraft
(I) Adam Smith
(J) John Locke",(C)
"QUESTION11) 성적이 A0인 경우 ________의 성적점을 받는다.
(A) 4.3
(B) 4.2
(C) 4.1
(D) 4.0
(E) 3.9
(F) 3.8
(G) 3.7
(H) 3.6
(I) 3.5
(J) 3.0",(D)
"QUESTION12) 성적이 D0인 경우 ________의 성적점을 받는다.
(A) 2.3
(B) 2.2
(C) 2.1
(D) 2.0
(E) 1.3
(F) 1.2
(G) 1.1
(H) 1.0
(I) 0.5",(H)
"QUESTION13) 2014학년도 입학생이 공통과학 연계전공을 부전공하는 경우, ________ 학위를 받는다.
(A) 경제학사
(B) 문학사
(C) 건축학사
(D) 음악학사
(E) 공학사
(F) 이학사
(G) 경영학사
(H) 의학사
(I) 벤처경영학사",(F)
"QUESTION14) 2018학년도 신산업융합대학의 입학정원은 몇 명인가?
(A) 390
(B) 514
(C) 240
(D) 229
(E) 408
(F) 120
(G) 138
(H) 248
(I) 295",(D)
"QUESTION15) 학사학위의 종류를 확인하려면 이화여자대학교 학칙의 몇 페이지를 봐야 하는가?
(A) 10
(B) 29
(C) 39
(D) 40
(E) 41
(F) 49
(G) 50
(H) 51
(I) 52",(H)
"QUESTION16) 학사학위의 종류를 확인하려면 이화여자대학교 학칙의 몇 페이지를 봐야 하는가?
(A) 2 - 2 - 10
(B) 2 - 2 - 29
(C) 2 - 2 - 39
(D) 2 - 2 - 40
(E) 2 - 2 - 41
(F) 2 - 2 - 49
(G) 2 - 2 - 50
(H) 2 - 2 - 51
(I) 2 - 2 - 52",(H)
"QUESTION17) 총장은 학생의 본분에 어긋난 자를 징계할 수 있음은 언제 만들어졌는가?
(A) 1988년 7월 28일
(B) 1997년 12월 23일
(C) 2006년 1월 19일
(D) 1997년 12월 28일
(E) 1997년 7월 23일
(F) 2002년 10월 7일
(G) 2009년 9월 22일
(H) 1988년 3월 1일
(I) 1988년 3월 21일",(A)
"QUESTION18) 총장은 학생의 본분에 어긋난 자를 징계할 수 있음은 언제부터 시행되었는가?
(A) 1988년 7월 28일
(B) 1997년 12월 23일
(C) 2006년 1월 19일
(D) 1997년 12월 28일
(E) 1997년 7월 23일
(F) 2002년 10월 7일
(G) 2009년 9월 22일
(H) 1988년 3월 1일
(I) 1988년 3월 21일",(H)
"QUESTION19) 2019년에 경영학과로 입학하여 통계학과를 복수전공한 이화여자대학교에 ________년까지 재학할 수 있다.
(A) 2026
(B) 2027
(C) 2028
(D) 2029",(B)
"QUESTION20) 2019년에 경영학과로 입학하여 통계학과를 복수전공하고 2021년부터 1년간 휴학한 학생은 이화여자대학교에 ________년까지 재학할 수 있다.
(A) 2026
(B) 2027
(C) 2028
(D) 2029",(C)
